img_path,label_path,class_name,feature_npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Horse/H_DJI_0476.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Horse/H_DJI_0476.txt,Horse,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Horse__H_DJI_0476.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CM_DJI_0444.jpg,/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CM_DJI_0444.txt,Cow,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Cow__CM_DJI_0444.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Horse/H_DJI_0608.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Horse/H_DJI_0608.txt,Horse,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Horse__H_DJI_0608.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/022521_DJI_0024.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/022521_DJI_0024.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__022521_DJI_0024.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Horse/H_DJI_0464.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Horse/H_DJI_0464.txt,Horse,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Horse__H_DJI_0464.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/060421_DJI_0070.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/060421_DJI_0070.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__060421_DJI_0070.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/071521_DeerPens_xt2_DJI_0478.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/071521_DeerPens_xt2_DJI_0478.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__071521_DeerPens_xt2_DJI_0478.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CA_DJI_0530.jpg,/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CA_DJI_0530.txt,Cow,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Cow__CA_DJI_0530.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CE_DJI_0530.jpg,/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CE_DJI_0530.txt,Cow,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Cow__CE_DJI_0530.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/020221_deer_pens_xt2_DJI_0316.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/020221_deer_pens_xt2_DJI_0316.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__020221_deer_pens_xt2_DJI_0316.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CE_DJI_0840.jpg,/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CE_DJI_0840.txt,Cow,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Cow__CE_DJI_0840.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CA_DJI_0860.jpg,/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CA_DJI_0860.txt,Cow,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Cow__CA_DJI_0860.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/071521_DeerPens_xt2_DJI_0558.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/071521_DeerPens_xt2_DJI_0558.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__071521_DeerPens_xt2_DJI_0558.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/071521_DeerPens_xt2_DJI_0476.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/071521_DeerPens_xt2_DJI_0476.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__071521_DeerPens_xt2_DJI_0476.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/060421_DJI_0676.JPG,/blue/azare/zhou.m/awir/data_awir/AWIR/Deer/060421_DJI_0676.txt,Deer,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Deer__060421_DJI_0676.npz
/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CE_DJI_0736.jpg,/blue/azare/zhou.m/awir/data_awir/AWIR/Cow/CE_DJI_0736.txt,Cow,/blue/azare/zhou.m/object_detection_CTL/awir_ctl_sliding_grids/awir_sliding_grids_fold1/train/Cow__CE_DJI_0736.npz
